Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-04-16,68.41,1071.68,2466.04,1349.8,8665000,8840000,8449000,8663000,17194.393236,1.48E+11
2018-04-17,68.36,1070.68,2459.39,1349.1,8663000,8704000,8360000,8450000,24694.920217,2.12E+11
2018-04-18,69.39,1067.11,2467.55,1350.4,8450000,8679000,8445000,8652000,20637.876894,1.77E+11
2018-04-19,70.96,1065.12,2483.26,1352.4,8652000,8999000,8601000,8994000,28767.859056,2.54E+11
2018-04-20,70.37,1067.21,2478.59,1348.5,8994000,9666000,8710000,9552000,25528.479595,2.33E+11
2018-04-21,,,,,9552000,9845000,9285000,9735000,18553.755997,1.77E+11
2018-04-22,,,,,9735000,9757000,9500000,9602000,12583.327086,1.21E+11
2018-04-23,70.51,1071.2,2473.7,1336.2,9602000,9771000,9530000,9760000,12885.920899,1.25E+11
2018-04-24,71.35,1081.23,2478.47,1326.1,9758000,10670000,9730000,10505000,23344.484033,2.36E+11
2018-04-25,70.5,1077.28,2444.19,1332,10505000,10755000,9723000,9829000,25689.725971,2.62E+11
2018-04-26,71,1082.34,2460.62,1324.2,9829000,10508000,9510000,10130000,22295.305847,2.19E+11
2018-04-27,71.24,1077.69,2497.75,1318,10130000,10200000,9778000,9819000,17528.431979,1.76E+11
2018-04-28,,,,,9821000,10118000,9750000,10043000,12164.647639,1.22E+11
2018-04-29,,,,,10043000,10256000,9894000,10187000,14834.015228,1.50E+11
2018-04-30,71.02,1067.52,2502.29,1324,10187000,10292000,9934000,10138000,14851.100158,1.50E+11
2018-05-01,70.57,1070.33,,1316,10135000,10144000,9740000,9896000,15399.913702,1.53E+11
2018-05-02,70.46,1073.48,2515.75,1304.4,9896000,10078000,9811000,10032000,11828.981115,1.18E+11
2018-05-03,70.64,1079.85,2506.94,1305.5,10032000,10785000,10010000,10683000,20391.118566,2.09E+11
2018-05-04,70.98,1075.56,2486.47,1312.8,10670000,10901000,10500000,10645000,12582.440483,1.34E+11
2018-05-05,,,,,10645000,10907000,10621000,10820000,9581.8752225,1.03E+11
2018-05-06,,,,,10820000,10963000,10500000,10684000,8806.005919,94436279578
2018-05-07,72.44,1074.44,,1316.3,10684000,10721000,10264000,10422000,8143.4849046,84745378279
2018-05-08,72.1,1080.04,2468.45,1314.1,10439000,10499000,10130000,10233000,7651.2340418,78939835696
2018-05-09,73.95,1078.43,2450.71,1315.3,10230000,10433000,9917000,10405000,9955.3947946,1.01E+11
2018-05-10,74.45,1079.48,2458.67,1312.8,10405000,10474000,9895000,9976000,9077.7826946,93275451570
2018-05-11,74.41,1065.79,2469.3,1321.8,9976000,9985000,8788000,9256000,20997.669932,1.99E+11
2018-05-12,,,,,9257000,9644000,9014000,9481000,10980.18991,1.03E+11
2018-05-13,,,,,9480000,9851000,9360000,9803000,8513.4489987,81838304671
2018-05-14,74.2,1067.78,2482.97,1318.3,9804000,9935000,9400000,9797000,12813.133828,1.24E+11
2018-05-15,75.47,1070.95,2476.87,1313.2,9802000,9879000,9458000,9500000,8325.8270362,80714050266
2018-05-16,75.18,1081.01,2446.64,1290.1,9500000,9542000,9015000,9297000,12218.793412,1.13E+11
2018-05-17,76.76,1077.52,2468.72,1290.2,9297000,9390000,9020000,9090000,6921.9867901,63909130322
2018-05-18,76.47,1082.61,2459.73,1290,9072000,9186000,8881000,9165000,5904.0809709,53233771175
2018-05-19,,,,,9165000,9299000,9068000,9112000,6285.0675024,57548357610
2018-05-20,,,,,9112000,9398000,9051000,9370000,4901.0325502,45169962150
2018-05-21,76.22,1081.43,2464.07,1290.3,9370000,9439000,9279000,9345000,4741.9501249,44399589675
2018-05-22,77.19,1077.55,,1292.3,9345000,9356000,8931000,8940000,4999.603247,45871812675
2018-05-23,76.43,1076.54,2462.98,1290.6,8940000,9020000,8433000,8483000,8085.0532098,71269244524
2018-05-24,76.62,1077.25,2477.48,1293.3,8483000,8767000,8185000,8415000,8771.3427045,73928834982
2018-05-25,74.87,1081.69,2452.8,1304,8415000,8480000,8180000,8317000,4317.1954036,35876549723
2018-05-26,,,,,8317000,8420000,8122000,8162000,3099.5914971,25693093105
2018-05-27,,,,,8162000,8216000,8040000,8182000,2635.0998876,21410944207
